verdict,slug,errM,test,subject,relation,direction,anchorKind,anchorName,negated,hedged,surfaces,quote,text
"no-geometry","kitchen-court-milton","","","","anchor-compass","north","road","the main east-west arterials","false","false","hero ld-place","north of the main east-west arterials","Kitchen Court is a short residential court in Milton's Walker neighbourhood, a pocket of the town that sits west of the escarpment line and north of the main east-west arterials."
"not-checkable","dills-crescent-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Dills Crescent is a short residential crescent in the Dempsey neighbourhood of Milton, a pocket of the town that sits west of the escarpment and north of the main commercial corridor."
"not-checkable","dills-crescent-milton","","","","anchor-compass","north","commercial-corridor","the main commercial corridor","false","false","hero ld-place sec:about","north of the main commercial corridor","Dills Crescent is a short residential crescent in the Dempsey neighbourhood of Milton, a pocket of the town that sits west of the escarpment and north of the main commercial corridor."
"MISPLACED","dills-crescent-milton","-604","T1 town","street","town-compass","west","town","Milton","false","false","sec:about","it belongs to the town's western residential fabric","For a reader trying to place Dills Crescent in the Milton map, it belongs to the town's western residential fabric, not the newer edge."
"negated-not-judged","dills-crescent-milton","","","","edge-of-town","none","town","Milton","true","false","sec:about","not the newer edge","For a reader trying to place Dills Crescent in the Milton map, it belongs to the town's western residential fabric, not the newer edge."
"not-checkable","bowell-crescent-milton","","","","anchor-compass","west","escarpment","the escarpment ridge","false","false","hero ld-place sec:about","sits west of the escarpment ridge","Bowell Crescent is a residential curve in Milton's Ford area, a pocket of the town that sits west of the escarpment ridge and north of the main east-west arteries."
"no-geometry","bowell-crescent-milton","","","","anchor-compass","north","road","the main east-west arteries","false","false","hero ld-place sec:about","north of the main east-west arteries","Bowell Crescent is a residential curve in Milton's Ford area, a pocket of the town that sits west of the escarpment ridge and north of the main east-west arteries."
"not-refuted","etherington-way-milton","-4122","T1 town","polygon:Harrison","town-compass","southwest","town","Milton","false","false","hero ld-place sec:about","a residential pocket in the town's established southwest","Etherington Way sits in the Harrison neighbourhood of Milton, a residential pocket in the town's established southwest."
"not-checkable","thornborrow-court-milton","","","","anchor-compass","west","escarpment","the escarpment line","false","false","hero ld-place","sits west of the escarpment line","Thornborrow Court is a short residential court in Milton's Walker neighbourhood, a pocket of the town that sits west of the escarpment line and north of the main commercial spine."
"not-checkable","thornborrow-court-milton","","","","anchor-compass","north","commercial-corridor","the main commercial spine","false","false","hero ld-place","north of the main commercial spine","Thornborrow Court is a short residential court in Milton's Walker neighbourhood, a pocket of the town that sits west of the escarpment line and north of the main commercial spine."
"not-refuted","asleton-boulevard-milton","-2585","T1 town","polygon:Willmott","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a district that has filled in steadily on the town's western side","Asleton Boulevard is a residential street in Milton's Willmott neighbourhood, a district that has filled in steadily on the town's western side."
"not-refuted","chamomile-crescent-milton","-3127","T1 town","street","town-compass","west","town","Milton","false","false","faq","part of Milton's settled western fabric","The detached homes here are part of Milton's settled western fabric."
"not-refuted","churchill-avenue-milton","-457","T1 downtown","polygon:Dorset Park","anchor-compass","west","downtown","the town's historic core","false","false","hero ld-place","sits west of the town's historic core","Churchill Avenue is a residential street in Milton's Dorset Park, a neighbourhood that sits west of the town's historic core and north of the main east-west corridors."
"no-geometry","churchill-avenue-milton","","","","anchor-compass","north","road","the main east-west corridors","false","false","hero ld-place","north of the main east-west corridors","Churchill Avenue is a residential street in Milton's Dorset Park, a neighbourhood that sits west of the town's historic core and north of the main east-west corridors."
"no-geometry","taylor-court-milton","","","","proximity","none","downtown","Milton's core","false","false","sec:differentPriorities","streets closer to Milton's core","If a shorter drive to the GO station or more walkable schools matters more, you might look at streets closer to Milton's core, where lots tend to be tighter but daily errands need less driving."
"no-geometry","taylor-court-milton","","","","anchor-compass","east","neighbourhood","Brookville / Haltonville","false","false","sec:differentPriorities","Newer subdivisions farther east","Newer subdivisions farther east often offer more uniform construction and larger frontages, though they trade away some of the established feel this pocket carries."
"not-checkable","racey-trail-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Racey Trail is a residential street in Milton's Clarke neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial spine."
"not-checkable","racey-trail-milton","","","","anchor-compass","north","commercial-corridor","the main commercial spine","false","false","hero ld-place sec:about","north of the main commercial spine","Racey Trail is a residential street in Milton's Clarke neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial spine."
"no-geometry","racey-trail-milton","","","","anchor-compass","south","neighbourhood","Clarke","false","false","sec:about","the newest subdivisions to the south and east","Clarke itself is one of Milton's more established residential areas, with a mix of housing types and a street pattern that predates the newest subdivisions to the south and east."
"no-geometry","racey-trail-milton","","","","anchor-compass","east","neighbourhood","Clarke","false","false","sec:about","the newest subdivisions to the south and east","Clarke itself is one of Milton's more established residential areas, with a mix of housing types and a street pattern that predates the newest subdivisions to the south and east."
"not-refuted","gordon-krantz-avenue-milton","-3783","T1 town","polygon:Walker","town-compass","west","town","Milton","false","false","hero ld-place sec:about","the Walker neighbourhood on Milton's western edge","Gordon Krantz Avenue runs through the Walker neighbourhood on Milton's western edge, where the town's newer residential fabric meets the open land of Rural Milton."
"not-checkable","gordon-krantz-avenue-milton","","","","other-position","none","other","Rural Milton","false","false","hero ld-place sec:about","where the town's newer residential fabric meets the open land of Rural Milton","Gordon Krantz Avenue runs through the Walker neighbourhood on Milton's western edge, where the town's newer residential fabric meets the open land of Rural Milton."
"not-checkable","gordon-krantz-avenue-milton","","","","other-position","west","other","Rural Milton","false","false","sec:gettingAround","The street's western edge touches Rural Milton","The street's western edge touches Rural Milton, so the drive out of town is quick."
"not-refuted","clitherow-street-milton","-2330","T1 town","polygon:Ford","town-compass","west","town","Milton","false","false","hero ld-place sec:about","the Ford neighbourhood on Milton's western edge","Clitherow Street sits in the Ford neighbourhood on Milton's western edge, a residential run of detached homes and townhouses set among the town's newer subdivisions."
"not-checkable","clitherow-street-milton","","","","anchor-compass","north","other","the commuter corridor","false","false","sec:about","the commuter corridor to the south","The street's rhythm is shaped by its position between the commuter corridor to the south and the residential grid that fills out this part of town."
"not-checkable","clitherow-street-milton","","","","other-position","none","other","the commuter corridor and the residential grid","false","false","sec:about","its position between the commuter corridor to the south and the residential grid","The street's rhythm is shaped by its position between the commuter corridor to the south and the residential grid that fills out this part of town."
"MISPLACED","clitherow-street-milton","-1573","T1 town","street","town-compass","west","town","Milton","false","false","sec:gettingAround","For a street this far west","For a street this far west, the commute math holds up well against most of Milton."
"not-refuted","commercial-street-milton","-1868","T4 proximity (downtown)","street","proximity","none","downtown","the historic core","false","false","sec:about","sits close to the historic core","The street sits close to the historic core, where the grid narrows and the pace slows."
"not-refuted","commercial-street-milton","-1868","T4 proximity (central)","street","proximity","none","downtown","the town's beginnings","false","false","sec:about","a quiet lane in the middle of the town's beginnings","Commercial Street is the kind of address that feels central without being busy, a quiet lane in the middle of the town's beginnings."
"not-checkable","commercial-street-milton","","","","proximity","none","neighbourhood","Old Milton","false","false","sec:homes","a central Old Milton location","For buyers seeking a traditional detached house in a central Old Milton location, Commercial Street offers a narrow but genuine slice of that market."
"MISPLACED","chestnut-heights-milton","-964","T1 town","polygon:Cobban","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a pocket of the town's western growth edge","Chestnut Heights sits in Milton's Cobban district, a pocket of the town's western growth edge where the street network still reads as new."
"MISPLACED","elsworthy-crossing-milton","-317","T1 town","polygon:Clarke","town-compass","west","town","Milton","false","true","hero ld-place","has filled in steadily as Milton has grown westward","Elsworthy Crossing is a residential street in Milton's Clarke neighbourhood, a pocket of the town that has filled in steadily as Milton has grown westward."
"not-refuted","frobisher-boulevard-milton","78","T1 downtown","polygon:Dorset Park","anchor-compass","south","downtown","the core","false","false","hero ld-place sec:about","sits south of the core","Frobisher Boulevard is a residential street in Milton's Dorset Park area, a pocket of the town that sits south of the core and east of the escarpment line."
"not-checkable","frobisher-boulevard-milton","","","","anchor-compass","east","escarpment","the escarpment line","false","false","hero ld-place sec:about","east of the escarpment line","Frobisher Boulevard is a residential street in Milton's Dorset Park area, a pocket of the town that sits south of the core and east of the escarpment line."
"MISPLACED","frobisher-boulevard-milton","358","T1 town","street","town-compass","south","town","Milton","false","false","sec:market","a settled position within south Milton","What the street does offer is a settled position within south Milton."
"MISPLACED","dixon-drive-milton","-304","T1 town","polygon:Dempsey","town-compass","south","town","Milton","false","false","hero ld-place sec:about","one of Milton's established residential pockets on the town's southern side","Dixon Drive sits in Dempsey, one of Milton's established residential pockets on the town's southern side."
"not-refuted","ruhl-drive-milton","-2585","T1 town","polygon:Willmott","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a district that has filled in steadily on the town's western side","Ruhl Drive is a residential street in Milton's Willmott neighbourhood, a district that has filled in steadily on the town's western side."
"not-refuted","ruhl-drive-milton","-2264","T1 town","street","town-compass","west","town","Milton","false","false","sec:gettingAround","For a street this far west in Milton","For a street this far west in Milton, the highway and the station are the two anchors that shape the daily rhythm."
"not-refuted","briar-crescent-milton","78","T1 downtown","polygon:Dorset Park","anchor-compass","south","downtown","the core","false","false","hero ld-place sec:about","sits south of the core","Briar Crescent is a short residential crescent in Milton's Dorset Park, a pocket of the town that sits south of the core and east of the escarpment line."
"not-checkable","briar-crescent-milton","","","","anchor-compass","east","escarpment","the escarpment line","false","false","hero ld-place sec:about","east of the escarpment line","Briar Crescent is a short residential crescent in Milton's Dorset Park, a pocket of the town that sits south of the core and east of the escarpment line."
"not-checkable","goodwin-crescent-milton","","","","anchor-compass","west","escarpment","the escarpment line","false","false","hero ld-place sec:about","sits west of the escarpment line","Goodwin Crescent is a residential crescent in Milton's Ford neighbourhood, a pocket of the town that sits west of the escarpment line and north of the main east-west arterials."
"no-geometry","goodwin-crescent-milton","","","","anchor-compass","north","road","the main east-west arterials","false","false","hero ld-place sec:about","north of the main east-west arterials","Goodwin Crescent is a residential crescent in Milton's Ford neighbourhood, a pocket of the town that sits west of the escarpment line and north of the main east-west arterials."
"not-checkable","muskoka-heights-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Muskoka Heights is a residential street in Milton's Bowes area, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"no-geometry","muskoka-heights-milton","","","","anchor-compass","north","road","the main east-west corridors","false","false","hero ld-place sec:about","north of the main east-west corridors","Muskoka Heights is a residential street in Milton's Bowes area, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"WRONG","muskoka-heights-milton","2288","T1 town","street","town-compass","west","town","Milton","false","false","sec:about","occupies a quiet interior position in the town's western half","For anyone mapping Milton, Muskoka Heights occupies a quiet interior position in the town's western half."
"not-refuted","bergamot-avenue-milton","-3783","T1 town","polygon:Walker","town-compass","west","town","Milton","false","true","hero ld-place sec:about","has filled in steadily as Milton has grown westward","Bergamot Avenue is a residential street in Milton's Walker neighbourhood, a pocket of the town that has filled in steadily as Milton has grown westward."
"not-refuted","brassard-circle-milton","-2801","T1 town","polygon:Willmott","town-compass","east","town","Milton","false","false","hero ld-place sec:about","a residential pocket in the town's eastern expanse","Brassard Circle is a quiet loop in the Willmott neighbourhood of Milton, a residential pocket in the town's eastern expanse."
"negated-not-judged","brassard-circle-milton","","","","proximity","none","rail","the rail line","true","true","sec:differentPriorities","a location closer to the rail line might shorten the daily commute","For those who want quicker access to the GO station or the downtown core, a location closer to the rail line might shorten the daily commute."
"not-checkable","shade-lane-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Shade Lane is a short residential lane in Milton's Ford area, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"no-geometry","shade-lane-milton","","","","anchor-compass","north","road","the main east-west corridors","false","false","hero ld-place sec:about","north of the main east-west corridors","Shade Lane is a short residential lane in Milton's Ford area, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"MISPLACED","shade-lane-milton","-2498","T1 town","street","town-compass","west","town","Milton","false","false","sec:about","belongs to the newer western residential fabric","For anyone mapping Milton, the lane belongs to the newer western residential fabric rather than the older core."
"negated-not-judged","shade-lane-milton","","","","proximity","none","downtown","the older core","true","false","sec:about","rather than the older core","For anyone mapping Milton, the lane belongs to the newer western residential fabric rather than the older core."
"not-checkable","kerr-trail-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Kerr Trail is a short residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial spine."
"not-checkable","kerr-trail-milton","","","","anchor-compass","north","commercial-corridor","the main commercial spine","false","false","hero ld-place sec:about","north of the main commercial spine","Kerr Trail is a short residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial spine."
"not-checkable","prosser-circle-milton","","","","other-position","none","downtown","the older core","false","false","hero ld-place sec:about","fills the ground between the older core and the newer subdivisions pushing north and west","Prosser Circle is a residential loop in Milton's Harrison area, a pocket of the town that fills the ground between the older core and the newer subdivisions pushing north and west."
"not-checkable","weller-crossing-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","ld-place","sits west of the escarpment","Weller Crossing is a residential street in Milton's Dempsey neighbourhood, a pocket of the town that sits west of the escarpment and south of the main commercial corridors."
"not-checkable","weller-crossing-milton","","","","anchor-compass","south","commercial-corridor","the main commercial corridors","false","false","ld-place","south of the main commercial corridors","Weller Crossing is a residential street in Milton's Dempsey neighbourhood, a pocket of the town that sits west of the escarpment and south of the main commercial corridors."
"MISPLACED","waldie-avenue-milton","-1597","T1 downtown","polygon:Clarke","anchor-compass","south","downtown","the downtown core","false","false","hero ld-place sec:about","sits south of the downtown core","Waldie Avenue is a residential street in Milton's Clarke area, a pocket of the town that sits south of the downtown core and west of the Niagara Escarpment."
"not-checkable","waldie-avenue-milton","","","","anchor-compass","west","escarpment","the Niagara Escarpment","false","false","hero ld-place sec:about","west of the Niagara Escarpment","Waldie Avenue is a residential street in Milton's Clarke area, a pocket of the town that sits south of the downtown core and west of the Niagara Escarpment."
"not-checkable","irving-terrace-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Irving Terrace is a short residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial spine."
"not-checkable","irving-terrace-milton","","","","anchor-compass","north","commercial-corridor","the main commercial spine","false","false","hero ld-place sec:about","north of the main commercial spine","Irving Terrace is a short residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial spine."
"not-refuted","etheridge-avenue-milton","-2330","T1 town","polygon:Ford","town-compass","west","town","Milton","false","false","hero ld-place sec:about","set among the town's western growth corridors","Etheridge Avenue is a residential street in Milton's Ford and Cobban area, a stretch of low-rise housing set among the town's western growth corridors."
"MISPLACED","etheridge-avenue-milton","-2290","T1 town","street","town-compass","west","town","Milton","false","true","sec:about","how Milton has filled in westward, Etheridge Avenue marks a piece of that pattern already in place","For anyone tracing how Milton has filled in westward, Etheridge Avenue marks a piece of that pattern already in place."
"MISPLACED","chambers-place-milton","591","T1 town","polygon:Beaty","town-compass","west","town","Milton","false","false","hero ld-place","a pocket of west Milton","Chambers Place is a short residential street in Milton's Beaty neighbourhood, a pocket of west Milton where the street grid gives way to quieter residential lanes."
"not-checkable","thames-circle-milton","","","","anchor-compass","west","commercial-corridor","the commercial spine","false","false","hero ld-place sec:about","sits west of the commercial spine","Thames Circle is a residential loop in Milton's Bowes neighbourhood, a pocket of the town that sits west of the commercial spine and north of the older grid."
"MISPLACED","thames-circle-milton","-820","T1 downtown","polygon:Bowes","anchor-compass","north","downtown","the older grid","false","false","hero ld-place sec:about","north of the older grid","Thames Circle is a residential loop in Milton's Bowes neighbourhood, a pocket of the town that sits west of the commercial spine and north of the older grid."
"not-refuted","banks-crescent-milton","-2585","T1 town","polygon:Willmott","town-compass","west","town","Milton","false","false","sec:about","Willmott sits in Milton's western half","Willmott sits in Milton's western half, with the escarpment country to the south and the GO corridor to the east."
"not-checkable","banks-crescent-milton","","","","anchor-compass","north","escarpment","the escarpment country","false","false","sec:about","with the escarpment country to the south","Willmott sits in Milton's western half, with the escarpment country to the south and the GO corridor to the east."
"not-checkable","banks-crescent-milton","","","","anchor-compass","west","rail","the GO corridor","false","false","sec:about","the GO corridor to the east","Willmott sits in Milton's western half, with the escarpment country to the south and the GO corridor to the east."
"not-refuted","childs-drive-milton","428","T1 downtown","polygon:Timberlea","anchor-compass","west","downtown","the downtown core","false","false","hero ld-place sec:about","sits west of the downtown core","Childs Drive is a residential street in Milton's Timberlea neighbourhood, a pocket of the town that sits west of the downtown core and north of the escarpment lands."
"not-checkable","childs-drive-milton","","","","anchor-compass","north","escarpment","the escarpment lands","false","false","hero ld-place sec:about","north of the escarpment lands","Childs Drive is a residential street in Milton's Timberlea neighbourhood, a pocket of the town that sits west of the downtown core and north of the escarpment lands."
"MISPLACED","meighen-way-milton","591","T1 town","polygon:Beaty","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a pocket of west Milton","Meighen Way is a short residential way in Milton's Beaty neighbourhood, a pocket of west Milton that sits between the escarpment country to the south and the commuter corridors to the north."
"not-checkable","meighen-way-milton","","","","anchor-compass","north","escarpment","the escarpment country","false","false","hero ld-place sec:about","between the escarpment country to the south","Meighen Way is a short residential way in Milton's Beaty neighbourhood, a pocket of west Milton that sits between the escarpment country to the south and the commuter corridors to the north."
"no-geometry","meighen-way-milton","","","","anchor-compass","south","road","the commuter corridors","false","false","hero ld-place sec:about","the commuter corridors to the north","Meighen Way is a short residential way in Milton's Beaty neighbourhood, a pocket of west Milton that sits between the escarpment country to the south and the commuter corridors to the north."
"WRONG","meighen-way-milton","1115","T1 town","street","town-compass","west","town","Milton","false","false","sec:gettingAround","a street this far west in Milton","For a street this far west in Milton, the highway and the station are the two anchors, and both are close."
"not-checkable","meighen-way-milton","","","","proximity","none","road","the highway","false","false","sec:gettingAround","the highway and the station are the two anchors, and both are close","For a street this far west in Milton, the highway and the station are the two anchors, and both are close."
"not-checkable","meighen-way-milton","","","","proximity","none","rail","the station","false","false","sec:gettingAround","the highway and the station are the two anchors, and both are close","For a street this far west in Milton, the highway and the station are the two anchors, and both are close."
"not-refuted","cooper-avenue-milton","-2051","T1 town","polygon:Beaty","town-compass","north","town","Milton","false","false","hero ld-place sec:about","a residential pocket in the town's north end","Cooper Avenue runs through the Beaty neighbourhood of Milton, a residential pocket in the town's north end."
"MISPLACED","rolph-terrace-milton","591","T1 town","polygon:Beaty","town-compass","west","town","Milton","false","false","hero ld-place","a pocket of west Milton","Rolph Terrace is a short residential street in Milton's Beaty neighbourhood, a pocket of west Milton that grew up around the Coates and Beaty corners of town."
"not-checkable","rolph-terrace-milton","","","","proximity","none","neighbourhood","Coates and Beaty","false","false","hero ld-place","grew up around the Coates and Beaty corners of town","Rolph Terrace is a short residential street in Milton's Beaty neighbourhood, a pocket of west Milton that grew up around the Coates and Beaty corners of town."
"not-checkable","caverhill-crescent-milton","","","","anchor-compass","east","escarpment","the escarpment","false","false","hero ld-place sec:about","sits east of the escarpment","Caverhill Crescent is a residential crescent in Milton's Clarke neighbourhood, a pocket of the town that sits east of the escarpment and north of the main commercial corridors."
"not-checkable","caverhill-crescent-milton","","","","anchor-compass","north","commercial-corridor","the main commercial corridors","false","false","hero ld-place sec:about","north of the main commercial corridors","Caverhill Crescent is a residential crescent in Milton's Clarke neighbourhood, a pocket of the town that sits east of the escarpment and north of the main commercial corridors."
"not-checkable","dance-court-milton","","","","other-position","none","escarpment","the escarpment edge and the highway corridor","false","false","sec:about","the grid between the escarpment edge and the highway corridor","It sits among the residential streets that fill the grid between the escarpment edge and the highway corridor, a part of town that grew as Milton expanded northward."
"MISPLACED","dance-court-milton","-374","T1 town","street","town-compass","north","town","Milton","false","false","sec:about","a part of town that grew as Milton expanded northward","It sits among the residential streets that fill the grid between the escarpment edge and the highway corridor, a part of town that grew as Milton expanded northward."
"not-refuted","mickey-court-milton","-2422","T1 downtown","polygon:Scott","anchor-compass","west","downtown","the downtown core","false","false","hero ld-place sec:about","sits west of the downtown core","Mickey Court is a short residential court in Milton's Scott neighbourhood, a pocket of the town that sits west of the downtown core and north of the escarpment lands."
"not-checkable","mickey-court-milton","","","","anchor-compass","north","escarpment","the escarpment lands","false","false","hero ld-place sec:about","north of the escarpment lands","Mickey Court is a short residential court in Milton's Scott neighbourhood, a pocket of the town that sits west of the downtown core and north of the escarpment lands."
"not-refuted","lear-gate-milton","-1471","T1 town","street","town-compass","west","town","Milton","false","false","sec:about","belongs to the newer western half of Milton","For a reader trying to place it on the map, Lear Gate belongs to the newer western half of Milton, not the older grid closer to the escarpment."
"negated-not-judged","lear-gate-milton","","","","proximity","none","escarpment","the escarpment","true","false","sec:about","not the older grid closer to the escarpment","For a reader trying to place it on the map, Lear Gate belongs to the newer western half of Milton, not the older grid closer to the escarpment."
"not-refuted","twiss-road-milton","-11539","T1 town","street","town-compass","west","town","Milton","false","false","hero ld-place sec:about","in Milton's far western reaches","Twiss Road is a quiet rural lane in Milton's far western reaches, threading through the Campbellville countryside and the broader Rural Milton West area."
"not-refuted","twiss-road-milton","-11539","T1 town","street","town-compass","west","town","Milton","false","false","sec:market","on the rural western edge of Milton","Twiss Road sits within Campbellville, on the rural western edge of Milton, with the surrounding pattern skewing toward detached homes on generous parcels rather than the tighter subdivision grids found closer to the town core."
"no-geometry","twiss-road-milton","","","","proximity","none","downtown","the town core","false","false","sec:market","the tighter subdivision grids found closer to the town core","Twiss Road sits within Campbellville, on the rural western edge of Milton, with the surrounding pattern skewing toward detached homes on generous parcels rather than the tighter subdivision grids found closer to the town core."
"not-checkable","arthurs-way-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Arthurs Way is a residential way in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"no-geometry","arthurs-way-milton","","","","anchor-compass","north","road","the main east-west corridors","false","false","hero ld-place sec:about","north of the main east-west corridors","Arthurs Way is a residential way in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"MISPLACED","culcastle-drive-milton","432","T1 town","polygon:Bowes","town-compass","west","town","Milton","false","false","hero ld-place sec:about","part of the western expansion","Culcastle Drive is a residential street in Milton's Bowes neighbourhood, part of the western expansion that carried the town past its older core."
"WRONG","culcastle-drive-milton","1537","T1 downtown","polygon:Bowes","anchor-compass","west","downtown","its older core","false","false","hero ld-place sec:about","the western expansion that carried the town past its older core","Culcastle Drive is a residential street in Milton's Bowes neighbourhood, part of the western expansion that carried the town past its older core."
"WRONG","culcastle-drive-milton","1375","T1 town","street","town-compass","west","town","Milton","false","false","sec:about","a street pattern common to Milton's newer west-end subdivisions","It sits among curving residential roads that meet collector streets rather than a rigid grid, a street pattern common to Milton's newer west-end subdivisions."
"WRONG","zuest-crescent-milton","1589","T1 town","street","town-compass","north","town","Milton","false","false","sec:about","It sits in the northern part of the town","It sits in the northern part of the town, where streets curve gently and mature trees line the sidewalks."
"not-refuted","lobelia-crescent-milton","-3783","T1 town","polygon:Walker","town-compass","west","town","Milton","false","false","hero ld-place sec:about","has filled in steadily as the western edge has grown","Lobelia Crescent is a residential crescent in Milton's Walker neighbourhood, a pocket of the town that has filled in steadily as the western edge has grown."
"not-checkable","chilver-heights-milton","","","","anchor-compass","west","commercial-corridor","the commercial spine","false","false","hero ld-place sec:about","sits west of the commercial spine","Chilver Heights is a residential street in Milton's Ford neighbourhood, a pocket of the town that sits west of the commercial spine and north of the older settlement core."
"WRONG","chilver-heights-milton","1863","T1 downtown","polygon:Ford","anchor-compass","north","downtown","the older settlement core","false","false","hero ld-place sec:about","north of the older settlement core","Chilver Heights is a residential street in Milton's Ford neighbourhood, a pocket of the town that sits west of the commercial spine and north of the older settlement core."
"not-refuted","robertson-crescent-milton","-1500","T1 town","polygon:Timberlea","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a pocket of west-end Milton","Robertson Crescent is a quiet residential curve in Milton's Timberlea neighbourhood, a pocket of west-end Milton where the street grid softens into crescents and short connectors."
"MISPLACED","robertson-crescent-milton","-574","T1 town","street","town-compass","west","town","Milton","false","false","sec:gettingAround","a street this far west in Milton","For a street this far west in Milton, the highway and the rail line are the two constants, and both are close enough that neither commute requires a long preamble."
"not-checkable","robertson-crescent-milton","","","","proximity","none","road","the highway","false","false","sec:gettingAround","the highway and the rail line ... both are close enough","For a street this far west in Milton, the highway and the rail line are the two constants, and both are close enough that neither commute requires a long preamble."
"not-checkable","robertson-crescent-milton","","","","proximity","none","rail","the rail line","false","false","sec:gettingAround","the highway and the rail line ... both are close enough","For a street this far west in Milton, the highway and the rail line are the two constants, and both are close enough that neither commute requires a long preamble."
"not-checkable","ollerenshaw-point-milton","","","","anchor-compass","south","escarpment","the escarpment","false","false","hero ld-place sec:about","sits south of the escarpment","Ollerenshaw Point is a small residential street in Milton's Harrison area, a pocket of the town that sits south of the escarpment and west of the main north-south corridors."
"no-geometry","ollerenshaw-point-milton","","","","anchor-compass","west","road","the main north-south corridors","false","false","hero ld-place sec:about","west of the main north-south corridors","Ollerenshaw Point is a small residential street in Milton's Harrison area, a pocket of the town that sits south of the escarpment and west of the main north-south corridors."
"not-refuted","elm-avenue-milton","-1308","T4 proximity (downtown)","street","proximity","none","downtown","the historic core of the town","false","false","hero ld-place sec:about","in Old Milton, the historic core of the town","Elm Avenue is a short residential street in Old Milton, the historic core of the town, where the grid tightens and the streets run shorter than they do in the newer subdivisions to the south and west."
"not-refuted","onley-lane-milton","-2585","T1 town","polygon:Willmott","town-compass","west","town","Milton","false","false","sec:market","a west-Milton neighbourhood","Onley Lane sits within Willmott, a west-Milton neighbourhood where the wider comparable set is deep enough to publish."
"not-refuted","buck-drive-milton","-3608","T1 downtown","polygon:Dempsey","anchor-compass","east","downtown","the centre","false","false","hero ld-place sec:about","sits east of the centre","Buck Drive is a residential street in Milton's Dempsey neighbourhood, a pocket of the town that sits east of the centre and west of the industrial lands along the rail corridor."
"not-refuted","governors-court-milton","78","T1 downtown","polygon:Dorset Park","anchor-compass","south","downtown","the downtown core","false","false","hero ld-place sec:about","sits south of the downtown core","Governors Court is a short residential court in Milton's Dorset Park area, a pocket of the town that sits south of the downtown core and east of the main north-south corridors."
"no-geometry","governors-court-milton","","","","anchor-compass","east","road","the main north-south corridors","false","false","hero ld-place sec:about","east of the main north-south corridors","Governors Court is a short residential court in Milton's Dorset Park area, a pocket of the town that sits south of the downtown core and east of the main north-south corridors."
"not-refuted","given-lane-milton","-2422","T1 downtown","polygon:Scott","anchor-compass","west","downtown","the downtown core","false","false","hero ld-place sec:about","sits west of the downtown core","Given Lane is a short residential lane in Milton's Scott area, a pocket of the town that sits west of the downtown core and north of the escarpment lands."
"not-checkable","given-lane-milton","","","","anchor-compass","north","escarpment","the escarpment lands","false","false","hero ld-place sec:about","north of the escarpment lands","Given Lane is a short residential lane in Milton's Scott area, a pocket of the town that sits west of the downtown core and north of the escarpment lands."
"not-refuted","james-street-milton","-1716","T4 proximity (downtown)","street","proximity","none","downtown","the historic core of the town","false","false","hero ld-place sec:about","in Old Milton, the historic core of the town","James Street is a short residential street in Old Milton, the historic core of the town, where the grid still runs tight and the lots stay narrow."
"not-checkable","jarvie-crescent-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Jarvie Crescent is a residential crescent in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial corridors."
